job_id	stage	model	seed	layer_index	lambda_inc	target_tokens	context_length	model_batch_size	microbatch_size	effective_batch_size	dataset_name	dataset_config	dataset_split	text_field	output_dir	log_file	resume_path	status	attempt	worker	gpu	start_time	end_time	heartbeat_time	error	notes
k2_wave2_fast_g4_L3_s42_inc1e2	wave2_fastdata_reconstructed	EleutherAI/pythia-160m-deduped	42	3	0.01	1000000000	128	4	64	4096	ArmelR/the-pile-splitted	all	train	text	/jumbo/lisp/f004ndc/experiments/wip/MSAE/pilot_runs/20260601_132158_k2_msae_wave2_fastdata_stream/outputs/k2_wave2_fast_g4_L3_s42_inc1e2	/jumbo/lisp/f004ndc/experiments/wip/MSAE/pilot_runs/20260601_132158_k2_msae_wave2_fastdata_stream/logs/k2_wave2_fast_g4_L3_s42_inc1e2.log	/jumbo/lisp/f004ndc/experiments/wip/MSAE/pilot_runs/20260529_122259_k2_msae_wave2/outputs/k2_wave1_g4_L3_s42_inc1e2_wave2/checkpoints/ckpt_step98651_tok400016486.pt	done	1	reconstructed_direct_launch	4	2026-06-01T17:22:10Z	2026-06-04T11:23:17Z	2026-06-04T11:23:17Z		RECONSTRUCTED_20260731; confidence=args/resume/terminal=embedded-high; confidence=gpu/start=filename-log-inferred; evidence_class=development_existing_checkpoint; checkpoint_sha256=00714ca209027d418156f65dda55b90e6f1887a75ef412acb43a61359d711e97; data_iterator_position_not_checkpointed; first_training_segment_from_superseded_run
k2_wave2_fast_g5_L3_s43_inc1e2	wave2_fastdata_reconstructed	EleutherAI/pythia-160m-deduped	43	3	0.01	1000000000	128	4	64	4096	ArmelR/the-pile-splitted	all	train	text	/jumbo/lisp/f004ndc/experiments/wip/MSAE/pilot_runs/20260601_132158_k2_msae_wave2_fastdata_stream/outputs/k2_wave2_fast_g5_L3_s43_inc1e2	/jumbo/lisp/f004ndc/experiments/wip/MSAE/pilot_runs/20260601_132158_k2_msae_wave2_fastdata_stream/logs/k2_wave2_fast_g5_L3_s43_inc1e2.log	/jumbo/lisp/f004ndc/experiments/wip/MSAE/pilot_runs/20260529_122259_k2_msae_wave2/outputs/k2_wave1_g5_L3_s43_inc1e2_wave2/checkpoints/ckpt_step98651_tok400016486.pt	done	1	reconstructed_direct_launch	5	2026-06-01T17:22:10Z	2026-06-04T11:24:28Z	2026-06-04T11:24:28Z		RECONSTRUCTED_20260731; confidence=args/resume/terminal=embedded-high; confidence=gpu/start=filename-log-inferred; evidence_class=development_existing_checkpoint; checkpoint_sha256=933120800d5861dddbe99f725c04467c0684bbd069b6d9f345d2b202a43003ef; data_iterator_position_not_checkpointed; first_training_segment_from_superseded_run
k2_wave2_fast_g6_L3_s44_inc1e2	wave2_fastdata_reconstructed	EleutherAI/pythia-160m-deduped	44	3	0.01	1000000000	128	4	64	4096	ArmelR/the-pile-splitted	all	train	text	/jumbo/lisp/f004ndc/experiments/wip/MSAE/pilot_runs/20260601_132158_k2_msae_wave2_fastdata_stream/outputs/k2_wave2_fast_g6_L3_s44_inc1e2	/jumbo/lisp/f004ndc/experiments/wip/MSAE/pilot_runs/20260601_132158_k2_msae_wave2_fastdata_stream/logs/k2_wave2_fast_g6_L3_s44_inc1e2.log	/jumbo/lisp/f004ndc/experiments/wip/MSAE/pilot_runs/20260529_122259_k2_msae_wave2/outputs/k2_wave2_g6_L3_s44_inc1e2_fresh/checkpoints/ckpt_step73988_tok300016447.pt	done	1	reconstructed_direct_launch	6	2026-06-01T17:22:10Z	2026-06-04T22:08:41Z	2026-06-04T22:08:41Z		RECONSTRUCTED_20260731; confidence=args/resume/terminal=embedded-high; confidence=gpu/start=filename-log-inferred; evidence_class=development_existing_checkpoint; checkpoint_sha256=d4cd3ac52805f70bbcec60857a3c4afd6361248038a541f63a0cfcfe1b5b3e43; data_iterator_position_not_checkpointed; first_training_segment_from_superseded_run
k2_wave2_fast_g7_L3_s42_inc0	wave2_fastdata_reconstructed	EleutherAI/pythia-160m-deduped	42	3	0.0	1000000000	128	4	64	4096	ArmelR/the-pile-splitted	all	train	text	/jumbo/lisp/f004ndc/experiments/wip/MSAE/pilot_runs/20260601_132158_k2_msae_wave2_fastdata_stream/outputs/k2_wave2_fast_g7_L3_s42_inc0	/jumbo/lisp/f004ndc/experiments/wip/MSAE/pilot_runs/20260601_132158_k2_msae_wave2_fastdata_stream/logs/k2_wave2_fast_g7_L3_s42_inc0.log	/jumbo/lisp/f004ndc/experiments/wip/MSAE/pilot_runs/20260529_122259_k2_msae_wave2/outputs/k2_wave1_g7_L3_s42_inc0_wave2/checkpoints/ckpt_step98651_tok400016486.pt	done	1	reconstructed_direct_launch	7	2026-06-01T17:22:10Z	2026-06-04T11:22:51Z	2026-06-04T11:22:51Z		RECONSTRUCTED_20260731; confidence=args/resume/terminal=embedded-high; confidence=gpu/start=filename-log-inferred; evidence_class=development_existing_checkpoint; checkpoint_sha256=76474c4576e024d13d6ae9a3b43f38ac51918c84db1b75121932709d5f8dbc49; data_iterator_position_not_checkpointed; first_training_segment_from_superseded_run
