session	gpu	model	seed	layer_index	split_mode	rank	all_pass	all_pass_alt_c2	all_pass_recovery_var	all_pass_v2	c1	c1_new_rank_recovery	c2	c2_alt	c2_var	c2_var_v2	c3	c3_v2	c4	rank_at_pos90	rank_budget_d_over_8	raw_pos_auc	raw_tok_top1	pos_spos_auc	pos_spos_perp_auc	pos_auc_recovery	tok_stok_top1	tok_stok_perp_top1	tok_top1_recovery	tok_spos_top1	pos_stok_auc	tok_energy_ratio	tok_energy_baseline	tok_energy_excess	c2_var_ratio	c2_var_threshold	c2_var_excess_floor	pos_drop_frac_v2	tok_drop_frac_v2	c3_v2_drop_fraction	principal_median_angle_deg	cross_projection_energy_normalized	position_raw_n_iter_max	position_raw_hit_max_iter	token_raw_n_iter_max	token_raw_hit_max_iter	position_raw_diag_backend	token_raw_diag_backend	position_raw_effective_lr	token_raw_effective_lr	probe_torch_scheduler	git_commit_hash	c2_var_v2_ratio_threshold	c2_var_v2_excess_floor	c3_v2_drop_fraction_cfg	holdout_source_label	corpus_holdout_dataset_name	source_manifest_hash	causal_pos_raw_on_spos_auc	causal_pos_raw_on_spos_perp_auc	causal_pos_raw_on_stok_auc	causal_tok_raw_on_stok_top1	causal_tok_raw_on_stok_perp_top1	causal_tok_raw_on_spos_top1	output_dir
	5	EleutherAI/pythia-14m-deduped	42	2	iid	4	0	0	0	0	0	1	0	0	0	0	0	1	1	4	16	0.5219331976878668	0.9935275316238403	0.5758242866066986	0.5646712834519368	1.1032528476011223	0.7637540698051453	0.9935275316238403	0.7687296481425644	0.44012945890426636	0.5155553464819582	0.0837716391757602	0.03125	0.05252163917576021	2.6806924536243266	3.0	0.05	0.2907852879763519	0.5837083017791577	0.25	73.9813003540039	0.23264437913894653	200	0	400	0	torch	torch	0.05	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25			62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.5749732847307967	0.6168807157842459	0.5389633650761315	0.3145631067961165	0.6537216828478964	0.1436893203883495	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_p14_s42_L2_iid_smoke
	5	EleutherAI/pythia-14m-deduped	42	2	iid	8	0	0	0	0	0	1	0	0	0	0	0	0	1	4	16	0.5219331976878668	0.9935275316238403	0.5466962639652778	0.5240311998763587	1.047444895988816	0.9158576130867004	0.9967637658119202	0.9218240903599373	0.5728155374526978	0.5191746304517332	0.13519481438215328	0.0625	0.07269481438215328	2.1631170301144524	3.0	0.05	0.12577132050652431	0.44375485886486077	0.25	72.35292053222656	0.3163929778765521	200	0	400	0	torch	torch	0.05	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25			62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.5949617555413214	0.6028024467423588	0.5427440208098233	0.6394822006472491	0.4809061488673139	0.15987055016181229	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_p14_s42_L2_iid_smoke
	5	EleutherAI/pythia-14m-deduped	42	2	iid	16	0	0	0	0	0	1	0	0	0	0	0	0	1	4	16	0.5219331976878668	0.9935275316238403	0.5710991010706117	0.537878591002311	1.0941996094529853	0.9870550632476807	0.9870550632476807	0.9934853658603895	0.7669903039932251	0.5543036060430316	0.21418200856077013	0.125	0.08918200856077013	1.713456068486161	3.0	0.05	-1.4758636116735364	0.23894492400415582	0.25	66.94873046875	0.4161551594734192	200	0	400	0	torch	torch	0.05	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25			62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.6191350301159899	0.5748661041708388	0.5756778917557775	0.8996763754045307	0.15016181229773462	0.2045307443365696	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_p14_s42_L2_iid_smoke
	6	EleutherAI/pythia-14m-deduped	42	4	iid	4	0	0	0	0	0	1	0	0	0	0	0	1	1	4	16	0.5638600476578145	0.9676375985145569	0.6538201890625207	0.5108012597260747	1.1595433863037228	0.7896440625190735	0.9708738327026367	0.8160535139718367	0.29449838399887085	0.5329725361632013	0.0518035504573966	0.03125	0.020553550457396597	1.657713614636691	3.0	0.05	0.4836750460964233	0.7299409941248196	0.25	82.99373626708984	0.13882997632026672	200	0	350	0	torch	torch	0.05	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25			62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.6895563896101611	0.7693868353859445	0.5424806052363894	0.255663430420712	0.8148867313915857	0.04919093851132686	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_p14_s42_L4_iid_smoke
	6	EleutherAI/pythia-14m-deduped	42	4	iid	8	0	0	0	0	0	1	0	0	0	0	0	0	1	4	16	0.5638600476578145	0.9676375985145569	0.6289015864211077	0.5091585611340552	1.1153505005957869	0.8996763825416565	0.9546926021575928	0.9297658378743971	0.45307445526123047	0.5518980257518038	0.08398499786660517	0.0625	0.02148499786660517	1.3437599658656827	3.0	0.05	0.18731620699858526	0.5579837338648653	0.25	81.23224639892578	0.19081231234718926	200	0	350	0	torch	torch	0.05	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25			62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.7257181273247648	0.7297721579041576	0.5564101183906348	0.5857605177993528	0.602588996763754	0.05436893203883495	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_p14_s42_L4_iid_smoke
	6	EleutherAI/pythia-14m-deduped	42	4	iid	16	0	0	0	0	0	1	0	0	0	0	0	1	1	4	16	0.5638600476578145	0.9676375985145569	0.6115046659534459	0.5069571966034901	1.0844972409262539	0.9708738327026367	0.935275137424469	1.003344469244527	0.6148867607116699	0.542855252446411	0.17647324925788702	0.125	0.051473249257887016	1.4117859940630961	3.0	0.05	0.3289191909776658	0.3825171549535421	0.25	77.1652603149414	0.2629285454750061	200	0	350	0	torch	torch	0.05	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25			62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.7506954462424001	0.6886827156896507	0.5934847821367956	0.9307443365695793	0.0511326860841424	0.04271844660194175	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_p14_s42_L4_iid_smoke
	7	EleutherAI/pythia-160m-deduped	42	3	iid	8	0	0	0	1	0	1	0	0	0	1	1	1	1	8	96	0.8060119397105044	0.9978843331336975	0.8201318364283705	0.706844977279003	1.0175182227733965	0.7179125547409058	0.9978843331336975	0.7194346387686188	0.33588555455207825	0.5131085006271654	0.08820583305071276	0.010416666666666666	0.0777891663840461	8.467759972868427	3.0	0.05	0.9571634340817996	0.6660094320133771	0.25	86.90524291992188	0.20224460285892076	2000	1	1000	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25			62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.6557149987859577	0.6054907246501904	0.5138034103914073	0.13260392109452135	0.8716073263616031	0.039311692760281285	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_p160_s42_L3_iid
	5	EleutherAI/pythia-160m-deduped	43	3	iid	8	0	0	0	1	0	1	0	0	0	1	1	1	1	8	96	0.8067027295471744	0.9977835416793823	0.8225318007261012	0.6917029145758304	1.0196219382917078	0.7126737833023071	0.9966753721237183	0.7142569039601482	0.34223252534866333	0.5295856977421162	0.08826942497355246	0.010416666666666666	0.07785275830688579	8.473864797461037	3.0	0.05	0.9035362424527573	0.6595894903917324	0.25	86.52584838867188	0.21980163124940685	1800	0	450	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25			62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.6673028401232682	0.6064920198144588	0.5144285998225481	0.0888190372564428	0.9393701263374237	0.038143021217433355	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_p160_s43_L3_iid
	4	EleutherAI/pythia-160m-deduped	44	3	iid	8	0	0	0	1	0	1	0	0	0	1	1	1	1	8	96	0.7985279131691004	0.9978843331336975	0.8225002853336931	0.6596425767320631	1.0300207065642253	0.7085431814193726	0.9975820779800415	0.7100454009477282	0.29780372977256775	0.5203885339382962	0.08637272512352355	0.010416666666666666	0.07595605845685688	8.291781611858262	3.0	0.05	0.9317030902676522	0.7043219717219495	0.25	86.86648559570312	0.25118390069610325	1150	0	800	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25			62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.6726416069928551	0.6026358109423172	0.5175266732413402	0.0899272602712124	0.9261520481976264	0.05073646456708779	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_p160_s44_L3_iid
	6	EleutherAI/pythia-160m-deduped	45	3	iid	8	0	0	0	1	0	1	0	0	0	1	1	1	1	8	96	0.7970645914144263	0.9980857968330383	0.8210367309910089	0.6542604534034363	1.0300755294298585	0.7168043255805969	0.9977835416793823	0.7181790662236077	0.25549063086509705	0.5282591355091132	0.09041623617228081	0.010416666666666666	0.07999956950561414	8.679958672538959	3.0	0.05	0.9048720839647642	0.7469427110359292	0.25	87.84860229492188	0.26479853395030456	1050	0	500	0	torch	torch	0.01	0.05	cosine	dd01774b90fbbe99f0ee9bfa2f09ae379c805802	3.0	0.05	0.25			62d6739bf8c6e45ad8159a1c90d68edc5f0ba5f9	0.6918841773855701	0.6001866322738405	0.5157593348351831	0.11017751717745673	0.9461202119728385	0.05238872433456245	/jumbo/lisp/f004ndc/MSAE/pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_p160_s45_L3_iid
