model	layer_index	n_ranks	raw_pos_auc	raw_tok_top1	best_pos_auc_recovery	best_pos_auc_recovery_rank	best_tok_top1_recovery	best_tok_top1_recovery_rank	rank_at_pos90	rank_budget_d_over_8	c1_new_rank_recovery	max_all_pass	max_all_pass_alt_c2	max_all_pass_recovery_var	max_all_pass_v2
EleutherAI/pythia-14m-deduped	2	3	0.5219331976878668	0.9935275316238403	1.1032528476011223	4	0.9934853658603895	16	4	16	1	0	0	0	0
EleutherAI/pythia-14m-deduped	4	3	0.5638600476578145	0.9676375985145569	1.1595433863037228	4	1.003344469244527	16	4	16	1	0	0	0	0
EleutherAI/pythia-160m-deduped	3	69	0.8060119397105044	0.9978843331336975	1.0300755294298585	8	0.9952362612722122	32	8	96	1	0	0	0	1
EleutherAI/pythia-160m-deduped	4	69	0.7973973576898872	0.9967761039733887	1.0636939327513482	8	0.9886966711379471	32	8	96	1	0	0	0	1
EleutherAI/pythia-70m-deduped	4	4	0.7143985185726895	0.9832090139389038	0.989803476164747	16	0.9519291613293557	32	4	64	1	0	0	0	1
gpt2	4	4	0.8877727318935906	0.9995102882385254	1.0824126340752727	8	0.9973055638380345	32	4	96	1	0	0	0	1
