split_mode	model	layer_index	rank	metric	n	mean	ci_lo_95	ci_hi_95
iid	EleutherAI/pythia-70m-deduped	4	8	c2_var_ratio	1	11.042954594327288	11.042954594327288	11.042954594327288
iid	EleutherAI/pythia-70m-deduped	4	8	tok_drop_frac_v2	1	0.7184775216321097	0.7184775216321097	0.7184775216321097
iid	EleutherAI/pythia-70m-deduped	4	8	all_pass_v2	1	1.0	1.0	1.0
iid	EleutherAI/pythia-70m-deduped	4	16	raw_pos_auc	1	0.7143985185726895	0.7143985185726895	0.7143985185726895
iid	EleutherAI/pythia-70m-deduped	4	16	c2_var_ratio	1	6.05664881105141	6.05664881105141	6.05664881105141
iid	EleutherAI/pythia-70m-deduped	4	16	tok_drop_frac_v2	1	0.5545117113392876	0.5545117113392876	0.5545117113392876
iid	EleutherAI/pythia-70m-deduped	4	16	all_pass_v2	1	1.0	1.0	1.0
iid	EleutherAI/pythia-70m-deduped	4	32	raw_pos_auc	1	0.7143985185726895	0.7143985185726895	0.7143985185726895
iid	EleutherAI/pythia-70m-deduped	4	32	c2_var_ratio	1	3.6069444258098557	3.6069444258098557	3.6069444258098557
iid	EleutherAI/pythia-70m-deduped	4	32	tok_drop_frac_v2	1	0.368827789989199	0.368827789989199	0.368827789989199
iid	EleutherAI/pythia-70m-deduped	4	32	all_pass_v2	1	1.0	1.0	1.0
iid	gpt2	4	4	raw_pos_auc	1	0.8877727318935906	0.8877727318935906	0.8877727318935906
iid	gpt2	4	4	c2_var_ratio	1	6.2779413108747	6.2779413108747	6.2779413108747
iid	gpt2	4	4	tok_drop_frac_v2	1	0.8771574117799757	0.8771574117799757	0.8771574117799757
iid	gpt2	4	4	all_pass_v2	1	0.0	0.0	0.0
iid	gpt2	4	8	raw_pos_auc	1	0.8877727318935906	0.8877727318935906	0.8877727318935906
iid	gpt2	4	8	c2_var_ratio	1	5.431160643654363	5.431160643654363	5.431160643654363
iid	gpt2	4	8	tok_drop_frac_v2	1	0.7754740274232937	0.7754740274232937	0.7754740274232937
iid	gpt2	4	8	all_pass_v2	1	0.0	0.0	0.0
iid	gpt2	4	16	raw_pos_auc	1	0.8877727318935906	0.8877727318935906	0.8877727318935906
iid	gpt2	4	16	c2_var_ratio	1	4.420699135209506	4.420699135209506	4.420699135209506
iid	gpt2	4	16	tok_drop_frac_v2	1	0.510384133494705	0.510384133494705	0.510384133494705
iid	gpt2	4	16	all_pass_v2	1	1.0	1.0	1.0
iid	gpt2	4	32	raw_pos_auc	1	0.8877727318935906	0.8877727318935906	0.8877727318935906
iid	gpt2	4	32	c2_var_ratio	1	3.495895754402813	3.495895754402813	3.495895754402813
iid	gpt2	4	32	tok_drop_frac_v2	1	0.21135879360113566	0.21135879360113566	0.21135879360113566
iid	gpt2	4	32	all_pass_v2	1	0.0	0.0	0.0
